2026-05-07 12:02:25,955 | INFO     | train_all | ======================================================================
2026-05-07 12:02:25,955 | INFO     | train_all |   TIME SERIES FORECASTING SYSTEM — TRAINING PIPELINE
2026-05-07 12:02:25,956 | INFO     | train_all | ======================================================================
2026-05-07 12:02:25,956 | INFO     | train_all | STEP 1 / 5: Loading and preprocessing data ...
2026-05-07 12:02:25,956 | INFO     | src.preprocessing | Loading data from: C:\forecasting_system\data\Forecasting Case- Study.xlsx
2026-05-07 12:02:27,644 | INFO     | src.preprocessing | Raw data shape: (8084, 4)
2026-05-07 12:02:27,644 | INFO     | src.preprocessing | Columns: ['State', 'Date', 'Total', 'Category']
2026-05-07 12:02:28,053 | INFO     | src.preprocessing | Preprocessing complete. States found: 43
2026-05-07 12:02:28,053 | INFO     | train_all | States to process: ['Alabama', 'Arizona', 'Arkansas', 'California', 'Colorado', 'Connecticut', 'Florida', 'Georgia', 'Illinois', 'Indiana', 'Iowa', 'Kansas', 'Kentucky', 'Louisiana', 'Maine', 'Maryland', 'Massachusetts', 'Michigan', 'Minnesota', 'Mississippi', 'Missouri', 'Nebraska', 'Nevada', 'New Hampshire', 'New Mexico', 'New York', 'North Carolina', 'Ohio', 'Oklahoma', 'Oregon', 'Pennsylvania', 'Rhode Island', 'South Carolina', 'South Dakota', 'Tennessee', 'Texas', 'Utah', 'Vermont', 'Virginia', 'Washington', 'West Virginia', 'Wisconsin', 'Wyoming']
2026-05-07 12:02:28,053 | INFO     | train_all | ------------------------------------------------------------
2026-05-07 12:02:28,053 | INFO     | train_all | Processing state: Alabama
2026-05-07 12:02:28,079 | INFO     | train_all |   Split — Train: 204, Val: 25, Test: 24
2026-05-07 12:02:32,663 | INFO     | src.models.sarima_model | [SARIMA] Training for state: Alabama
2026-05-07 12:02:32,679 | ERROR    | train_all |   [SARIMA] Failed for Alabama: max_p must be >= start_p
2026-05-07 12:02:32,950 | INFO     | src.models.prophet_model | [Prophet] Training for state: Alabama
2026-05-07 12:02:33,052 | ERROR    | train_all |   [Prophet] Failed for Alabama: 'Prophet' object has no attribute 'stan_backend'
2026-05-07 12:02:33,345 | INFO     | src.models.xgboost_model | [XGBoost] Training for state: Alabama
2026-05-07 12:02:34,063 | INFO     | src.models.xgboost_model | [XGBoost] Alabama metrics: {'rmse': 108160307.1934, 'mae': 79353008.1865, 'mape': 53.21}
2026-05-07 12:02:34,437 | INFO     | src.models.xgboost_model | [XGBoost] Model saved to C:\forecasting_system\artifacts\models\Alabama_xgboost.pkl
2026-05-07 12:02:53,549 | WARNING  | tensorflow | From C:\Users\varsh\AppData\Roaming\Python\Python311\site-packages\keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

2026-05-07 12:02:54,239 | INFO     | src.models.lstm_model | [LSTM] Training for state: Alabama
2026-05-07 12:02:54,446 | WARNING  | tensorflow | From C:\Users\varsh\AppData\Roaming\Python\Python311\site-packages\keras\src\layers\rnn\lstm.py:148: The name tf.executing_eagerly_outside_functions is deprecated. Please use tf.compat.v1.executing_eagerly_outside_functions instead.

2026-05-07 12:02:57,118 | WARNING  | tensorflow | From C:\Users\varsh\AppData\Roaming\Python\Python311\site-packages\keras\src\utils\tf_utils.py:492: The name tf.ragged.RaggedTensorValue is deprecated. Please use tf.compat.v1.ragged.RaggedTensorValue instead.

2026-05-07 12:03:04,980 | INFO     | src.models.lstm_model | [LSTM] Alabama — training complete.
2026-05-07 12:03:08,521 | INFO     | src.models.lstm_model | [LSTM] Alabama metrics: {'rmse': 87982519.7525, 'mae': 80852222.1429, 'mape': 70.9003}
2026-05-07 12:03:26,012 | INFO     | src.models.lstm_model | [LSTM] Model saved to C:\forecasting_system\artifacts\models\Alabama_lstm.pkl
2026-05-07 12:03:26,012 | INFO     | train_all | ------------------------------------------------------------
2026-05-07 12:03:26,012 | INFO     | train_all | Processing state: Arizona
2026-05-07 12:03:26,028 | INFO     | train_all |   Split — Train: 204, Val: 25, Test: 24
2026-05-07 12:03:26,028 | INFO     | src.models.sarima_model | [SARIMA] Training for state: Arizona
2026-05-07 12:03:26,030 | ERROR    | train_all |   [SARIMA] Failed for Arizona: max_p must be >= start_p
2026-05-07 12:03:26,030 | INFO     | src.models.prophet_model | [Prophet] Training for state: Arizona
2026-05-07 12:03:26,033 | ERROR    | train_all |   [Prophet] Failed for Arizona: 'Prophet' object has no attribute 'stan_backend'
2026-05-07 12:03:26,036 | INFO     | src.models.xgboost_model | [XGBoost] Training for state: Arizona
2026-05-07 12:03:26,583 | INFO     | src.models.xgboost_model | [XGBoost] Arizona metrics: {'rmse': 101324153.1569, 'mae': 63476964.2435, 'mape': 95.4205}
